"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"TQFP-64_10x10mm_Pitch0.5mm";1;"STM32F410R8-LQFP64";;;
2;"P1";"USB_Micro-B";1;"USB_B";;;
3;"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED30,LED31,LED32";"LED_CLV1L-PLCC4";32;"RGB";;;
4;"U4,U3,U2";"SSOP-24_3.9x8.7mm_Pitch0.635mm";3;"TLC5926";;;
5;"SW1";"SW_SPST_B3U-1000P";1;"UP/BOOT";;;
6;"R5,R4";"R_0805_HandSoldering";2;"500";;;
7;"R3";"R_0805_HandSoldering";1;"300";;;
8;"R2,R1";"R_0805_HandSoldering";2;"22";;;
9;"C5";"C_0805_HandSoldering";1;"4.7u";;;
10;"C4,C3,C2,C1";"C_0805_HandSoldering";4;"100n";;;
11;"SW2";"SW_SPST_B3U-1000P";1;"LEFT";;;
12;"SW3";"SW_SPST_B3U-1000P";1;"RIGHT";;;
13;"SW4";"SW_SPST_B3U-1000P";1;"DOWN";;;
14;"C6";"C_0603_HandSoldering";1;"24p";;;
15;"C7,C8,C9,C10";"C_0603_HandSoldering";4;"10u";;;
16;"L1";"4700S_Series";1;"1uH 4.9mOhm";;;
17;"P2";"Socket_Strip_Straight_1x01";1;"AAA1 HOT";;;
18;"P3";"Socket_Strip_Straight_1x01";1;"AAA1 GND";;;
19;"P4";"Socket_Strip_Straight_1x01";1;"AAA2 GND";;;
20;"P5";"Socket_Strip_Straight_1x01";1;"AAA2 HOT";;;
21;"R6";"R_0603_HandSoldering";1;"316k";;;
22;"R7";"R_0603_HandSoldering";1;"100k";;;
23;"SW5";"SW_SPST_EVQPE1";1;"SPST";;;
24;"U5";"SOT-223";1;"LM1117-3.3";;;
25;"U6";"WSON-8_2x2mm";1;"TPS61021";;;
